Name,Latent_feature
RID_1001007672_20181010_153529_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0033.jpg,"[ 0.4545717  -0.02408973 -0.2015287  ... -0.29845414 -0.07862273
 -0.14474845]"
RID_1001001046_20181128_132405_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0113.jpg,"[ 0.63854986  0.09628578 -0.13423812 ... -0.42717806 -0.11397042
 -0.5574089 ]"
RID_1001005811_20190910_165757_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0073.jpg,"[ 0.34957469  0.08249177 -0.06643277 ... -0.19228962  0.06152279
 -0.21444917]"
RID_1001000457_20190820_154607_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0033.jpg,"[ 0.70253175  0.222534   -0.16687824 ... -0.55818146 -0.05486985
 -0.37370798]"
RID_1001001026_20180709_154750_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0001.jpg,"[ 0.54930747  0.14748076 -0.12409867 ... -0.44646707 -0.13902082
 -0.55988544]"
RID_1001000177_20170803_162003_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0057.jpg,"[ 0.46598178  0.10619542 -0.15195236 ... -0.29458183 -0.02713365
 -0.09178284]"
RID_1001001106_20190814_165605_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0025.jpg,"[ 0.5766902   0.2214765  -0.10520083 ... -0.41254318 -0.16847408
 -0.3971941 ]"
RID_1001001069_20181031_161831_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0017.jpg,"[ 0.64379436  0.34003916 -0.14582574 ... -0.4893696  -0.07829726
 -0.30689526]"
RID_1001005811_20190910_165757_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0097.jpg,"[ 0.62581855  0.28737587 -0.13286756 ... -0.27586606 -0.11696177
 -0.42825785]"
RID_1001000147_20190925_154428_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0041.jpg,"[ 0.5464703   0.1933644  -0.10805299 ... -0.33665898 -0.07863615
 -0.3929348 ]"
RID_1001000483_20181005_151931_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0025.jpg,"[ 0.6393846   0.16595994 -0.20567062 ... -0.41865832 -0.09493404
 -0.39658117]"
RID_1001005811_20190910_165757_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0009.jpg,"[ 0.6618202   0.35416213 -0.09962452 ... -0.3761411  -0.13312036
 -0.34502727]"
RID_1001000457_20190820_154607_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0017.jpg,"[ 0.7202649   0.29692727 -0.189025   ... -0.59041053 -0.00887355
 -0.33058104]"
RID_1001000716_20191028_162835_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0089.jpg,"[ 0.62274015  0.242064   -0.18913473 ... -0.50422907 -0.12100364
 -0.24892528]"
RID_1001001069_20181031_161831_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0033.jpg,"[ 0.61678284  0.16369279 -0.14927407 ... -0.44865957 -0.04335693
 -0.27570635]"
RID_1001000483_20181005_151931_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0105.jpg,"[ 0.5288929  -0.050969   -0.17381878 ... -0.40523887 -0.21876141
 -0.33168256]"
RID_1001007923_20180417_162800_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0033.jpg,"[ 0.58488125  0.00991594 -0.13809754 ... -0.37396228 -0.1655816
 -0.23663765]"
RID_1001000149_20180618_154813_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0001.jpg,"[ 0.66436183  0.42967403 -0.16241615 ... -0.45636967 -0.20409307
 -0.35054934]"
RID_1001006953_20171103_162331_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0009.jpg,"[ 0.5774075   0.34162194 -0.12199195 ... -0.4816785  -0.10170466
 -0.38537046]"
RID_1001000436_20171128_162346_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0041.jpg,"[ 0.6216722   0.13631223 -0.13463524 ... -0.4600776  -0.08555618
 -0.2654929 ]"
RID_1001007670_20190709_154342_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0017.jpg,"[ 0.6605728   0.23352358 -0.17875053 ... -0.41104254 -0.10287841
 -0.30320033]"
RID_1001005811_20190910_165757_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0001.jpg,"[ 0.5584414   0.29262295 -0.17606331 ... -0.31326118 -0.05780337
 -0.35029957]"
RID_1001000008_20171114_161349_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0025.jpg,"[ 0.68702745  0.1042842  -0.10641533 ... -0.48001704 -0.12425936
 -0.5152081 ]"
RID_1001001041_20190605_152102_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0025.jpg,"[ 0.6332595   0.16042942 -0.15821959 ... -0.586104   -0.0961647
 -0.5122266 ]"
RID_1001004902_20180926_162921_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0113.jpg,"[ 0.5429657   0.2644981  -0.13560456 ... -0.6113484  -0.15590702
 -0.40215927]"
RID_1001000342_20181203_154641_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0089.jpg,"[ 0.43747452  0.10556321 -0.1124118  ... -0.3950292  -0.12417845
 -0.3363308 ]"
RID_1001007672_20181010_153529_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0057.jpg,"[ 0.46469527 -0.2768497  -0.19798107 ... -0.31227392 -0.04703708
 -0.10065312]"
RID_1001005372_20190726_163812_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0049.jpg,"[ 0.59380966 -0.0131517  -0.17949562 ... -0.3844902  -0.14044401
  0.04074441]"
RID_1001000008_20171114_161349_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0105.jpg,"[ 0.6649994   0.09787076 -0.18581383 ... -0.61414844 -0.16012362
 -0.3568527 ]"
RID_1001004902_20180926_162921_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0001.jpg,"[ 0.56601226  0.26690066 -0.23724593 ... -0.584414   -0.24969983
 -0.3543395 ]"
RID_1001007603_20180717_171004_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0065.jpg,"[ 0.5085119  -0.23944843 -0.19277176 ... -0.26428297 -0.05233847
  0.11862974]"
RID_1001001146_20180604_140117_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0009.jpg,"[ 0.61052525  0.24578767 -0.12533379 ... -0.5582233  -0.10232808
 -0.41635633]"
RID_1001003633_20171204_155617_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0105.jpg,"[ 0.5592858   0.00760237 -0.15379791 ... -0.3481515  -0.1505345
 -0.23719122]"
RID_1001001106_20190814_165605_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0121.jpg,"[ 0.65328026  0.1600085  -0.13437016 ... -0.4522789  -0.11775714
 -0.43295458]"
