2024-03-18 18:58:20,323 - INFO - Saving models in /home/tejadhith/Project/OCT/multiclass_models_retfound 
2024-03-18 18:58:29,388 - INFO - Initial Test Accuracy (foveal_scan): 0.0792
2024-03-18 18:58:29,388 - INFO - Initial Test Accuracy (healthy): 0.5861
2024-03-18 18:58:29,388 - INFO - Initial Test Accuracy (srf): 0.9960
2024-03-18 18:58:29,388 - INFO - Initial Test Accuracy (irf): 0.9881
2024-03-18 18:58:29,388 - INFO - Initial Test Accuracy (drusen): 0.7743
2024-03-18 18:58:29,388 - INFO - Initial Test Accuracy (ped): 0.0535
2024-03-18 18:58:29,388 - INFO - Initial Test Accuracy (hdots): 0.6297
2024-03-18 18:58:29,388 - INFO - Initial Test Accuracy (hfoci): 0.8891
2024-03-18 18:58:58,898 - INFO - Epoch 1/20, Train Loss: 0.1163
2024-03-18 18:59:13,587 - INFO - Epoch 1/20, Train Accuracy (foveal_scan): 0.9044
2024-03-18 18:59:13,588 - INFO - Epoch 1/20, Train Accuracy (healthy): 0.6961
2024-03-18 18:59:13,588 - INFO - Epoch 1/20, Train Accuracy (srf): 0.9346
2024-03-18 18:59:13,588 - INFO - Epoch 1/20, Train Accuracy (irf): 0.9510
2024-03-18 18:59:13,588 - INFO - Epoch 1/20, Train Accuracy (drusen): 0.8292
2024-03-18 18:59:13,588 - INFO - Epoch 1/20, Train Accuracy (ped): 0.8382
2024-03-18 18:59:13,588 - INFO - Epoch 1/20, Train Accuracy (hdots): 0.6242
2024-03-18 18:59:13,588 - INFO - Epoch 1/20, Train Accuracy (hfoci): 0.9681
2024-03-18 18:59:15,180 - INFO - Epoch 1/20, Val Loss: 0.1147
2024-03-18 18:59:16,779 - INFO - Epoch 1/20, Validation Accuracy (foveal_scan): 0.8676
2024-03-18 18:59:16,779 - INFO - Epoch 1/20, Validation Accuracy (healthy): 0.6471
2024-03-18 18:59:16,779 - INFO - Epoch 1/20, Validation Accuracy (srf): 0.9338
2024-03-18 18:59:16,779 - INFO - Epoch 1/20, Validation Accuracy (irf): 0.9338
2024-03-18 18:59:16,779 - INFO - Epoch 1/20, Validation Accuracy (drusen): 0.8676
2024-03-18 18:59:16,779 - INFO - Epoch 1/20, Validation Accuracy (ped): 0.8382
2024-03-18 18:59:16,779 - INFO - Epoch 1/20, Validation Accuracy (hdots): 0.5588
2024-03-18 18:59:16,779 - INFO - Epoch 1/20, Validation Accuracy (hfoci): 0.9926
2024-03-18 18:59:26,471 - INFO - Best Validation Loss: 0.1147
2024-03-18 19:00:05,989 - INFO - Epoch 2/20, Train Loss: 0.0901
2024-03-18 19:00:20,551 - INFO - Epoch 2/20, Train Accuracy (foveal_scan): 0.9044
2024-03-18 19:00:20,551 - INFO - Epoch 2/20, Train Accuracy (healthy): 0.6961
2024-03-18 19:00:20,551 - INFO - Epoch 2/20, Train Accuracy (srf): 0.9346
2024-03-18 19:00:20,551 - INFO - Epoch 2/20, Train Accuracy (irf): 0.9510
2024-03-18 19:00:20,551 - INFO - Epoch 2/20, Train Accuracy (drusen): 0.7908
2024-03-18 19:00:20,551 - INFO - Epoch 2/20, Train Accuracy (ped): 0.7917
2024-03-18 19:00:20,551 - INFO - Epoch 2/20, Train Accuracy (hdots): 0.6381
2024-03-18 19:00:20,551 - INFO - Epoch 2/20, Train Accuracy (hfoci): 0.9681
2024-03-18 19:00:22,272 - INFO - Epoch 2/20, Val Loss: 0.1109
2024-03-18 19:00:23,888 - INFO - Epoch 2/20, Validation Accuracy (foveal_scan): 0.8676
2024-03-18 19:00:23,888 - INFO - Epoch 2/20, Validation Accuracy (healthy): 0.6471
2024-03-18 19:00:23,888 - INFO - Epoch 2/20, Validation Accuracy (srf): 0.9338
2024-03-18 19:00:23,888 - INFO - Epoch 2/20, Validation Accuracy (irf): 0.9338
2024-03-18 19:00:23,888 - INFO - Epoch 2/20, Validation Accuracy (drusen): 0.7868
2024-03-18 19:00:23,888 - INFO - Epoch 2/20, Validation Accuracy (ped): 0.8309
2024-03-18 19:00:23,888 - INFO - Epoch 2/20, Validation Accuracy (hdots): 0.5809
2024-03-18 19:00:23,888 - INFO - Epoch 2/20, Validation Accuracy (hfoci): 0.9926
2024-03-18 19:00:34,711 - INFO - Best Validation Loss: 0.1109
2024-03-18 19:01:04,717 - INFO - Epoch 3/20, Train Loss: 0.0775
2024-03-18 19:01:19,571 - INFO - Epoch 3/20, Train Accuracy (foveal_scan): 0.9044
2024-03-18 19:01:19,571 - INFO - Epoch 3/20, Train Accuracy (healthy): 0.8064
2024-03-18 19:01:19,571 - INFO - Epoch 3/20, Train Accuracy (srf): 0.9346
2024-03-18 19:01:19,571 - INFO - Epoch 3/20, Train Accuracy (irf): 0.9510
2024-03-18 19:01:19,571 - INFO - Epoch 3/20, Train Accuracy (drusen): 0.8243
2024-03-18 19:01:19,571 - INFO - Epoch 3/20, Train Accuracy (ped): 0.8815
2024-03-18 19:01:19,571 - INFO - Epoch 3/20, Train Accuracy (hdots): 0.7345
2024-03-18 19:01:19,571 - INFO - Epoch 3/20, Train Accuracy (hfoci): 0.9681
2024-03-18 19:01:21,206 - INFO - Epoch 3/20, Val Loss: 0.0844
2024-03-18 19:01:22,827 - INFO - Epoch 3/20, Validation Accuracy (foveal_scan): 0.8676
2024-03-18 19:01:22,827 - INFO - Epoch 3/20, Validation Accuracy (healthy): 0.8309
2024-03-18 19:01:22,827 - INFO - Epoch 3/20, Validation Accuracy (srf): 0.9338
2024-03-18 19:01:22,827 - INFO - Epoch 3/20, Validation Accuracy (irf): 0.9338
2024-03-18 19:01:22,827 - INFO - Epoch 3/20, Validation Accuracy (drusen): 0.8456
2024-03-18 19:01:22,827 - INFO - Epoch 3/20, Validation Accuracy (ped): 0.8824
2024-03-18 19:01:22,827 - INFO - Epoch 3/20, Validation Accuracy (hdots): 0.7500
2024-03-18 19:01:22,827 - INFO - Epoch 3/20, Validation Accuracy (hfoci): 0.9926
2024-03-18 19:01:32,021 - INFO - Best Validation Loss: 0.0844
2024-03-18 19:02:01,919 - INFO - Epoch 4/20, Train Loss: 0.0667
2024-03-18 19:02:16,630 - INFO - Epoch 4/20, Train Accuracy (foveal_scan): 0.9044
2024-03-18 19:02:16,630 - INFO - Epoch 4/20, Train Accuracy (healthy): 0.9493
2024-03-18 19:02:16,630 - INFO - Epoch 4/20, Train Accuracy (srf): 0.9436
2024-03-18 19:02:16,630 - INFO - Epoch 4/20, Train Accuracy (irf): 0.9510
2024-03-18 19:02:16,630 - INFO - Epoch 4/20, Train Accuracy (drusen): 0.8162
2024-03-18 19:02:16,630 - INFO - Epoch 4/20, Train Accuracy (ped): 0.9158
2024-03-18 19:02:16,630 - INFO - Epoch 4/20, Train Accuracy (hdots): 0.7712
2024-03-18 19:02:16,630 - INFO - Epoch 4/20, Train Accuracy (hfoci): 0.9681
2024-03-18 19:02:18,220 - INFO - Epoch 4/20, Val Loss: 0.0707
2024-03-18 19:02:19,868 - INFO - Epoch 4/20, Validation Accuracy (foveal_scan): 0.8676
2024-03-18 19:02:19,868 - INFO - Epoch 4/20, Validation Accuracy (healthy): 0.9485
2024-03-18 19:02:19,868 - INFO - Epoch 4/20, Validation Accuracy (srf): 0.9338
2024-03-18 19:02:19,868 - INFO - Epoch 4/20, Validation Accuracy (irf): 0.9338
2024-03-18 19:02:19,868 - INFO - Epoch 4/20, Validation Accuracy (drusen): 0.8529
2024-03-18 19:02:19,868 - INFO - Epoch 4/20, Validation Accuracy (ped): 0.8897
2024-03-18 19:02:19,868 - INFO - Epoch 4/20, Validation Accuracy (hdots): 0.8015
2024-03-18 19:02:19,868 - INFO - Epoch 4/20, Validation Accuracy (hfoci): 0.9926
2024-03-18 19:02:30,330 - INFO - Best Validation Loss: 0.0707
2024-03-18 19:03:00,427 - INFO - Epoch 5/20, Train Loss: 0.0569
2024-03-18 19:03:14,973 - INFO - Epoch 5/20, Train Accuracy (foveal_scan): 0.9608
