2024-03-19 12:00:51,817 - INFO - Saving models in /home/tejadhith/Project/OCT/multiclass_models_retfound_448 
2024-03-19 12:00:58,164 - INFO - Initial Test Accuracy (foveal_scan): 0.2227
2024-03-19 12:00:58,164 - INFO - Initial Test Accuracy (healthy): 0.4607
2024-03-19 12:00:58,164 - INFO - Initial Test Accuracy (srf): 0.2511
2024-03-19 12:00:58,164 - INFO - Initial Test Accuracy (irf): 0.1310
2024-03-19 12:00:58,164 - INFO - Initial Test Accuracy (drusen): 0.2533
2024-03-19 12:00:58,164 - INFO - Initial Test Accuracy (ped): 0.6114
2024-03-19 12:00:58,164 - INFO - Initial Test Accuracy (hdots): 0.3799
2024-03-19 12:00:58,164 - INFO - Initial Test Accuracy (hfoci): 0.4061
2024-03-19 12:01:08,982 - INFO - Epoch 1/40, Train Loss: 0.0859
2024-03-19 12:01:16,842 - INFO - Epoch 1/40, Train Accuracy (foveal_scan): 0.9616
2024-03-19 12:01:16,842 - INFO - Epoch 1/40, Train Accuracy (healthy): 0.7222
2024-03-19 12:01:16,842 - INFO - Epoch 1/40, Train Accuracy (srf): 0.9363
2024-03-19 12:01:16,842 - INFO - Epoch 1/40, Train Accuracy (irf): 0.9600
2024-03-19 12:01:16,842 - INFO - Epoch 1/40, Train Accuracy (drusen): 0.8301
2024-03-19 12:01:16,842 - INFO - Epoch 1/40, Train Accuracy (ped): 0.8815
2024-03-19 12:01:16,842 - INFO - Epoch 1/40, Train Accuracy (hdots): 0.6266
2024-03-19 12:01:16,842 - INFO - Epoch 1/40, Train Accuracy (hfoci): 0.9681
2024-03-19 12:01:17,702 - INFO - Epoch 1/40, Val Loss: 0.0900
2024-03-19 12:01:18,579 - INFO - Epoch 1/40, Validation Accuracy (foveal_scan): 0.9632
2024-03-19 12:01:18,579 - INFO - Epoch 1/40, Validation Accuracy (healthy): 0.7206
2024-03-19 12:01:18,579 - INFO - Epoch 1/40, Validation Accuracy (srf): 0.9338
2024-03-19 12:01:18,579 - INFO - Epoch 1/40, Validation Accuracy (irf): 0.9338
2024-03-19 12:01:18,579 - INFO - Epoch 1/40, Validation Accuracy (drusen): 0.8676
2024-03-19 12:01:18,579 - INFO - Epoch 1/40, Validation Accuracy (ped): 0.8750
2024-03-19 12:01:18,579 - INFO - Epoch 1/40, Validation Accuracy (hdots): 0.6618
2024-03-19 12:01:18,579 - INFO - Epoch 1/40, Validation Accuracy (hfoci): 0.9926
2024-03-19 12:01:19,783 - INFO - Best Validation Loss: 0.0900
2024-03-19 12:01:31,766 - INFO - Epoch 2/40, Train Loss: 0.0471
2024-03-19 12:01:39,579 - INFO - Epoch 2/40, Train Accuracy (foveal_scan): 0.9861
2024-03-19 12:01:39,579 - INFO - Epoch 2/40, Train Accuracy (healthy): 0.9404
2024-03-19 12:01:39,579 - INFO - Epoch 2/40, Train Accuracy (srf): 0.9583
2024-03-19 12:01:39,579 - INFO - Epoch 2/40, Train Accuracy (irf): 0.9673
2024-03-19 12:01:39,579 - INFO - Epoch 2/40, Train Accuracy (drusen): 0.9109
2024-03-19 12:01:39,579 - INFO - Epoch 2/40, Train Accuracy (ped): 0.9477
2024-03-19 12:01:39,579 - INFO - Epoch 2/40, Train Accuracy (hdots): 0.7745
2024-03-19 12:01:39,579 - INFO - Epoch 2/40, Train Accuracy (hfoci): 0.9706
2024-03-19 12:01:40,444 - INFO - Epoch 2/40, Val Loss: 0.0637
2024-03-19 12:01:41,343 - INFO - Epoch 2/40, Validation Accuracy (foveal_scan): 0.9853
2024-03-19 12:01:41,343 - INFO - Epoch 2/40, Validation Accuracy (healthy): 0.9044
2024-03-19 12:01:41,343 - INFO - Epoch 2/40, Validation Accuracy (srf): 0.9559
2024-03-19 12:01:41,343 - INFO - Epoch 2/40, Validation Accuracy (irf): 0.9412
2024-03-19 12:01:41,343 - INFO - Epoch 2/40, Validation Accuracy (drusen): 0.8309
2024-03-19 12:01:41,343 - INFO - Epoch 2/40, Validation Accuracy (ped): 0.9338
2024-03-19 12:01:41,343 - INFO - Epoch 2/40, Validation Accuracy (hdots): 0.7132
2024-03-19 12:01:41,343 - INFO - Epoch 2/40, Validation Accuracy (hfoci): 0.9926
2024-03-19 12:01:42,491 - INFO - Best Validation Loss: 0.0637
2024-03-19 12:01:53,334 - INFO - Epoch 3/40, Train Loss: 0.0253
2024-03-19 12:02:01,193 - INFO - Epoch 3/40, Train Accuracy (foveal_scan): 0.9975
2024-03-19 12:02:01,193 - INFO - Epoch 3/40, Train Accuracy (healthy): 0.9771
2024-03-19 12:02:01,193 - INFO - Epoch 3/40, Train Accuracy (srf): 0.9812
2024-03-19 12:02:01,194 - INFO - Epoch 3/40, Train Accuracy (irf): 0.9861
2024-03-19 12:02:01,194 - INFO - Epoch 3/40, Train Accuracy (drusen): 0.9493
2024-03-19 12:02:01,194 - INFO - Epoch 3/40, Train Accuracy (ped): 0.9534
2024-03-19 12:02:01,194 - INFO - Epoch 3/40, Train Accuracy (hdots): 0.9510
2024-03-19 12:02:01,194 - INFO - Epoch 3/40, Train Accuracy (hfoci): 0.9739
2024-03-19 12:02:02,072 - INFO - Epoch 3/40, Val Loss: 0.0661
2024-03-19 12:02:02,925 - INFO - Epoch 3/40, Validation Accuracy (foveal_scan): 0.9779
2024-03-19 12:02:02,925 - INFO - Epoch 3/40, Validation Accuracy (healthy): 0.8897
2024-03-19 12:02:02,925 - INFO - Epoch 3/40, Validation Accuracy (srf): 0.9779
2024-03-19 12:02:02,925 - INFO - Epoch 3/40, Validation Accuracy (irf): 0.9412
2024-03-19 12:02:02,925 - INFO - Epoch 3/40, Validation Accuracy (drusen): 0.8897
2024-03-19 12:02:02,925 - INFO - Epoch 3/40, Validation Accuracy (ped): 0.9044
2024-03-19 12:02:02,925 - INFO - Epoch 3/40, Validation Accuracy (hdots): 0.7794
2024-03-19 12:02:02,925 - INFO - Epoch 3/40, Validation Accuracy (hfoci): 0.9853
2024-03-19 12:02:13,741 - INFO - Epoch 4/40, Train Loss: 0.0166
2024-03-19 12:02:21,529 - INFO - Epoch 4/40, Train Accuracy (foveal_scan): 0.9706
2024-03-19 12:02:21,529 - INFO - Epoch 4/40, Train Accuracy (healthy): 0.9444
2024-03-19 12:02:21,529 - INFO - Epoch 4/40, Train Accuracy (srf): 0.9853
2024-03-19 12:02:21,529 - INFO - Epoch 4/40, Train Accuracy (irf): 0.9706
2024-03-19 12:02:21,529 - INFO - Epoch 4/40, Train Accuracy (drusen): 0.9551
2024-03-19 12:02:21,529 - INFO - Epoch 4/40, Train Accuracy (ped): 0.9722
2024-03-19 12:02:21,529 - INFO - Epoch 4/40, Train Accuracy (hdots): 0.5882
2024-03-19 12:02:21,529 - INFO - Epoch 4/40, Train Accuracy (hfoci): 0.9722
2024-03-19 12:02:22,408 - INFO - Epoch 4/40, Val Loss: 0.1173
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (foveal_scan): 0.9338
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (healthy): 0.8456
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (srf): 0.9632
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (irf): 0.9412
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (drusen): 0.8382
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (ped): 0.9338
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (hdots): 0.5882
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (hfoci): 0.9926
2024-03-19 12:02:34,172 - INFO - Epoch 5/40, Train Loss: 0.0105
2024-03-19 12:02:41,880 - INFO - Epoch 5/40, Train Accuracy (foveal_scan): 0.9975
2024-03-19 12:02:41,880 - INFO - Epoch 5/40, Train Accuracy (healthy): 0.9926
2024-03-19 12:02:41,880 - INFO - Epoch 5/40, Train Accuracy (srf): 0.9935
2024-03-19 12:02:41,880 - INFO - Epoch 5/40, Train Accuracy (irf): 0.9951
2024-03-19 12:02:41,881 - INFO - Epoch 5/40, Train Accuracy (drusen): 0.9828
2024-03-19 12:02:41,881 - INFO - Epoch 5/40, Train Accuracy (ped): 0.9886
2024-03-19 12:02:41,881 - INFO - Epoch 5/40, Train Accuracy (hdots): 0.9910
2024-03-19 12:02:41,881 - INFO - Epoch 5/40, Train Accuracy (hfoci): 0.9845
2024-03-19 12:02:42,742 - INFO - Epoch 5/40, Val Loss: 0.0754
2024-03-19 12:02:43,645 - INFO - Epoch 5/40, Validation Accuracy (foveal_scan): 0.9632
2024-03-19 12:02:43,645 - INFO - Epoch 5/40, Validation Accuracy (healthy): 0.9265
