2024-03-19 01:24:48,476 - INFO - Saving models in /home/tejadhith/Project/OCT/multiclass_models_retfound 
2024-03-19 01:24:58,320 - INFO - Initial Test Accuracy (foveal_scan): 0.0808
2024-03-19 01:24:58,320 - INFO - Initial Test Accuracy (healthy): 0.4039
2024-03-19 01:24:58,320 - INFO - Initial Test Accuracy (srf): 0.9956
2024-03-19 01:24:58,320 - INFO - Initial Test Accuracy (irf): 0.9782
2024-03-19 01:24:58,320 - INFO - Initial Test Accuracy (drusen): 0.7751
2024-03-19 01:24:58,320 - INFO - Initial Test Accuracy (ped): 0.9410
2024-03-19 01:24:58,320 - INFO - Initial Test Accuracy (hdots): 0.3799
2024-03-19 01:24:58,320 - INFO - Initial Test Accuracy (hfoci): 0.0873
2024-03-19 01:25:27,375 - INFO - Epoch 1/20, Train Loss: 0.0869
2024-03-19 01:25:41,763 - INFO - Epoch 1/20, Train Accuracy (foveal_scan): 0.9583
2024-03-19 01:25:41,763 - INFO - Epoch 1/20, Train Accuracy (healthy): 0.8423
2024-03-19 01:25:41,763 - INFO - Epoch 1/20, Train Accuracy (srf): 0.9559
2024-03-19 01:25:41,763 - INFO - Epoch 1/20, Train Accuracy (irf): 0.9649
2024-03-19 01:25:41,763 - INFO - Epoch 1/20, Train Accuracy (drusen): 0.8292
2024-03-19 01:25:41,763 - INFO - Epoch 1/20, Train Accuracy (ped): 0.9167
2024-03-19 01:25:41,763 - INFO - Epoch 1/20, Train Accuracy (hdots): 0.7230
2024-03-19 01:25:41,763 - INFO - Epoch 1/20, Train Accuracy (hfoci): 0.9681
2024-03-19 01:25:43,330 - INFO - Epoch 1/20, Val Loss: 0.0732
2024-03-19 01:25:44,923 - INFO - Epoch 1/20, Validation Accuracy (foveal_scan): 0.9632
2024-03-19 01:25:44,923 - INFO - Epoch 1/20, Validation Accuracy (healthy): 0.8309
2024-03-19 01:25:44,923 - INFO - Epoch 1/20, Validation Accuracy (srf): 0.9559
2024-03-19 01:25:44,924 - INFO - Epoch 1/20, Validation Accuracy (irf): 0.9412
2024-03-19 01:25:44,924 - INFO - Epoch 1/20, Validation Accuracy (drusen): 0.8676
2024-03-19 01:25:44,924 - INFO - Epoch 1/20, Validation Accuracy (ped): 0.9118
2024-03-19 01:25:44,924 - INFO - Epoch 1/20, Validation Accuracy (hdots): 0.6912
2024-03-19 01:25:44,924 - INFO - Epoch 1/20, Validation Accuracy (hfoci): 0.9926
2024-03-19 01:25:53,993 - INFO - Best Validation Loss: 0.0732
2024-03-19 01:26:33,450 - INFO - Epoch 2/20, Train Loss: 0.0550
2024-03-19 01:26:47,794 - INFO - Epoch 2/20, Train Accuracy (foveal_scan): 0.9779
2024-03-19 01:26:47,794 - INFO - Epoch 2/20, Train Accuracy (healthy): 0.9493
2024-03-19 01:26:47,794 - INFO - Epoch 2/20, Train Accuracy (srf): 0.9853
2024-03-19 01:26:47,794 - INFO - Epoch 2/20, Train Accuracy (irf): 0.9730
2024-03-19 01:26:47,794 - INFO - Epoch 2/20, Train Accuracy (drusen): 0.8775
2024-03-19 01:26:47,794 - INFO - Epoch 2/20, Train Accuracy (ped): 0.9592
2024-03-19 01:26:47,795 - INFO - Epoch 2/20, Train Accuracy (hdots): 0.7778
2024-03-19 01:26:47,795 - INFO - Epoch 2/20, Train Accuracy (hfoci): 0.9706
2024-03-19 01:26:49,383 - INFO - Epoch 2/20, Val Loss: 0.0501
2024-03-19 01:26:50,980 - INFO - Epoch 2/20, Validation Accuracy (foveal_scan): 0.9853
2024-03-19 01:26:50,980 - INFO - Epoch 2/20, Validation Accuracy (healthy): 0.9412
2024-03-19 01:26:50,980 - INFO - Epoch 2/20, Validation Accuracy (srf): 0.9706
2024-03-19 01:26:50,980 - INFO - Epoch 2/20, Validation Accuracy (irf): 0.9412
2024-03-19 01:26:50,980 - INFO - Epoch 2/20, Validation Accuracy (drusen): 0.9265
2024-03-19 01:26:50,980 - INFO - Epoch 2/20, Validation Accuracy (ped): 0.9412
2024-03-19 01:26:50,981 - INFO - Epoch 2/20, Validation Accuracy (hdots): 0.8015
2024-03-19 01:26:50,981 - INFO - Epoch 2/20, Validation Accuracy (hfoci): 0.9926
2024-03-19 01:27:01,397 - INFO - Best Validation Loss: 0.0501
2024-03-19 01:27:30,998 - INFO - Epoch 3/20, Train Loss: 0.0398
2024-03-19 01:27:45,395 - INFO - Epoch 3/20, Train Accuracy (foveal_scan): 0.9959
2024-03-19 01:27:45,395 - INFO - Epoch 3/20, Train Accuracy (healthy): 0.9191
2024-03-19 01:27:45,395 - INFO - Epoch 3/20, Train Accuracy (srf): 0.9845
2024-03-19 01:27:45,395 - INFO - Epoch 3/20, Train Accuracy (irf): 0.9690
2024-03-19 01:27:45,395 - INFO - Epoch 3/20, Train Accuracy (drusen): 0.9240
2024-03-19 01:27:45,395 - INFO - Epoch 3/20, Train Accuracy (ped): 0.9714
2024-03-19 01:27:45,395 - INFO - Epoch 3/20, Train Accuracy (hdots): 0.7974
2024-03-19 01:27:45,395 - INFO - Epoch 3/20, Train Accuracy (hfoci): 0.9681
2024-03-19 01:27:46,993 - INFO - Epoch 3/20, Val Loss: 0.0477
2024-03-19 01:27:48,608 - INFO - Epoch 3/20, Validation Accuracy (foveal_scan): 0.9926
2024-03-19 01:27:48,608 - INFO - Epoch 3/20, Validation Accuracy (healthy): 0.8971
2024-03-19 01:27:48,608 - INFO - Epoch 3/20, Validation Accuracy (srf): 0.9632
2024-03-19 01:27:48,608 - INFO - Epoch 3/20, Validation Accuracy (irf): 0.9559
